"REF_DATE","GEO","DGUID","Violations","Age of victim","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","","Violations causing death and attempted murder","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631532","1.2.10.2","3.47","","","","2"
"2021","Canada","","Violations causing death and attempted murder","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631532","1.2.10.2","3.10","","","","2"
"2019","Canada","","Violations causing death and attempted murder","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651651","1.2.11.2","1.45","","","","2"
"2020","Canada","","Violations causing death and attempted murder","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651651","1.2.11.2","1.35","","","","2"
"2021","Canada","","Violations causing death and attempted murder","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651651","1.2.11.2","1.47","","","","2"
"2019","Canada","","Sexual assaults","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598623","1.5.1.2","80.78","","","","2"
"2020","Canada","","Sexual assaults","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598623","1.5.1.2","74.04","","","","2"
"2021","Canada","","Sexual assaults","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598623","1.5.1.2","87.38","","","","2"
"2019","Canada","","Sexual assaults","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598625","1.5.2.2","62.14","","","","2"
"2020","Canada","","Sexual assaults","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598625","1.5.2.2","56.13","","","","2"
"2021","Canada","","Sexual assaults","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598625","1.5.2.2","69.26","","","","2"
"2019","Canada","","Sexual assaults","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631552","1.5.8.2","347.68","","","","2"
"2020","Canada","","Sexual assaults","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631552","1.5.8.2","291.80","","","","2"
"2021","Canada","","Sexual assaults","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631552","1.5.8.2","397.81","","","","2"
"2019","Canada","","Sexual assaults","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598631","1.5.5.2","208.58","","","","2"
"2020","Canada","","Sexual assaults","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598631","1.5.5.2","195.46","","","","2"
"2021","Canada","","Sexual assaults","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598631","1.5.5.2","217.99","","","","2"
"2019","Canada","","Sexual assaults","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631554","1.5.9.2","84.42","","","","2"
"2020","Canada","","Sexual assaults","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631554","1.5.9.2","82.85","","","","2"
"2021","Canada","","Sexual assaults","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631554","1.5.9.2","92.19","","","","2"
"2019","Canada","","Sexual assaults","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631556","1.5.10.2","24.62","","","","2"
"2020","Canada","","Sexual assaults","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631556","1.5.10.2","23.23","","","","2"
"2021","Canada","","Sexual assaults","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631556","1.5.10.2","26.22","","","","2"
"2019","Canada","","Sexual assaults","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651657","1.5.11.2","10.55","","","","2"
"2020","Canada","","Sexual assaults","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651657","1.5.11.2","9.35","","","","2"
"2021","Canada","","Sexual assaults","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651657","1.5.11.2","9.26","","","","2"
"2019","Canada","","Sexual violations against children","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598679","1.9.1.2","25.01","","","","2"
"2020","Canada","","Sexual violations against children","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598679","1.9.1.2","25.37","","","","2"
"2021","Canada","","Sexual violations against children","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598679","1.9.1.2","28.93","","","","2"
"2019","Canada","","Sexual violations against children","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598681","1.9.2.2","83.33","","","","2"
"2020","Canada","","Sexual violations against children","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598681","1.9.2.2","86.21","","","","2"
"2021","Canada","","Sexual violations against children","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598681","1.9.2.2","98.52","","","","2"
"2019","Canada","","Sexual violations against children","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631584","1.9.8.2","217.62","","","","2"
"2020","Canada","","Sexual violations against children","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631584","1.9.8.2","218.96","","","","2"
"2021","Canada","","Sexual violations against children","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631584","1.9.8.2","250.67","","","","2"
"2019","Canada","","Sexual violations against children","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598687","1.9.5.2","3.32","","","","2"
"2020","Canada","","Sexual violations against children","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598687","1.9.5.2","2.97","","","","2"
"2021","Canada","","Sexual violations against children","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598687","1.9.5.2","3.71","","","","2"
"2019","Canada","","Sexual violations against children","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631586","1.9.9.2","0.19","","","","2"
"2020","Canada","","Sexual violations against children","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631586","1.9.9.2","0.20","","","","2"
"2021","Canada","","Sexual violations against children","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631586","1.9.9.2","0.22","","","","2"
"2019","Canada","","Sexual violations against children","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631588","1.9.10.2","0.01","","","","2"
"2020","Canada","","Sexual violations against children","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631588","1.9.10.2","0.00","","","","2"
"2021","Canada","","Sexual violations against children","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631588","1.9.10.2","0.02","","","","2"
"2019","Canada","","Sexual violations against children","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651665","1.9.11.2","0.00","","","","2"
"2020","Canada","","Sexual violations against children","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651665","1.9.11.2","0.00","","","","2"
"2021","Canada","","Sexual violations against children","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651665","1.9.11.2","0.00","","","","2"
"2019","Canada","","Assaults","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598693","1.10.1.2","696.01","","","","2"
"2020","Canada","","Assaults","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598693","1.10.1.2","678.22","","","","2"
"2021","Canada","","Assaults","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598693","1.10.1.2","702.48","","","","2"
"2019","Canada","","Assaults","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598695","1.10.2.2","218.10","","","","2"
"2020","Canada","","Assaults","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598695","1.10.2.2","179.88","","","","2"
"2021","Canada","","Assaults","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598695","1.10.2.2","214.22","","","","2"
"2019","Canada","","Assaults","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631592","1.10.8.2","940.23","","","","2"
"2020","Canada","","Assaults","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631592","1.10.8.2","725.41","","","","2"
"2021","Canada","","Assaults","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631592","1.10.8.2","864.32","","","","2"
"2019","Canada","","Assaults","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598701","1.10.5.2","1306.28","","","","2"
"2020","Canada","","Assaults","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598701","1.10.5.2","1243.46","","","","2"
"2021","Canada","","Assaults","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598701","1.10.5.2","1256.02","","","","2"
"2019","Canada","","Assaults","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631594","1.10.9.2","1150.48","","","","2"
"2020","Canada","","Assaults","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631594","1.10.9.2","1160.67","","","","2"
"2021","Canada","","Assaults","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631594","1.10.9.2","1181.04","","","","2"
"2019","Canada","","Assaults","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631596","1.10.10.2","518.97","","","","2"
"2020","Canada","","Assaults","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631596","1.10.10.2","539.54","","","","2"
"2021","Canada","","Assaults","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631596","1.10.10.2","558.18","","","","2"
"2019","Canada","","Assaults","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651667","1.10.11.2","151.74","","","","2"
"2020","Canada","","Assaults","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651667","1.10.11.2","148.21","","","","2"
"2021","Canada","","Assaults","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651667","1.10.11.2","151.46","","","","2"
"2019","Canada","","Other violent violations","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598763","1.15.1.2","277.33","","","","2"
"2020","Canada","","Other violent violations","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598763","1.15.1.2","275.83","","","","2"
"2021","Canada","","Other violent violations","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598763","1.15.1.2","288.44","","","","2"
"2019","Canada","","Other violent violations","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598765","1.15.2.2","68.19","","","","2"
"2020","Canada","","Other violent violations","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598765","1.15.2.2","60.28","","","","2"
"2021","Canada","","Other violent violations","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598765","1.15.2.2","64.38","","","","2"
"2019","Canada","","Other violent violations","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631632","1.15.8.2","548.31","","","","2"
"2020","Canada","","Other violent violations","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631632","1.15.8.2","444.50","","","","2"
"2021","Canada","","Other violent violations","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631632","1.15.8.2","494.04","","","","2"
"2019","Canada","","Other violent violations","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598771","1.15.5.2","542.26","","","","2"
"2020","Canada","","Other violent violations","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598771","1.15.5.2","525.83","","","","2"
"2021","Canada","","Other violent violations","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598771","1.15.5.2","533.13","","","","2"
"2019","Canada","","Other violent violations","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631634","1.15.9.2","408.76","","","","2"
"2020","Canada","","Other violent violations","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631634","1.15.9.2","426.66","","","","2"
"2021","Canada","","Other violent violations","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631634","1.15.9.2","444.29","","","","2"
"2019","Canada","","Other violent violations","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631636","1.15.10.2","220.48","","","","2"
"2020","Canada","","Other violent violations","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631636","1.15.10.2","231.56","","","","2"
"2021","Canada","","Other violent violations","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631636","1.15.10.2","245.03","","","","2"
"2019","Canada","","Other violent violations","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651677","1.15.11.2","63.51","","","","2"
"2020","Canada","","Other violent violations","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651677","1.15.11.2","65.52","","","","2"
"2021","Canada","","Other violent violations","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651677","1.15.11.2","70.58","","","","2"
"2019","Canada","","Criminal Code traffic violations causing death or bodily harm","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598875","1.23.1.2","7.63","","","","2"
"2020","Canada","","Criminal Code traffic violations causing death or bodily harm","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598875","1.23.1.2","7.05","","","","2"
"2021","Canada","","Criminal Code traffic violations causing death or bodily harm","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598875","1.23.1.2","6.96","","","","2"
"2019","Canada","","Criminal Code traffic violations causing death or bodily harm","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598877","1.23.2.2","1.79","","","","2"
"2020","Canada","","Criminal Code traffic violations causing death or bodily harm","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598877","1.23.2.2","2.25","","","","2"
"2021","Canada","","Criminal Code traffic violations causing death or bodily harm","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598877","1.23.2.2","2.13","","","","2"
"2019","Canada","","Criminal Code traffic violations causing death or bodily harm","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631696","1.23.8.2","9.92","","","","2"
"2020","Canada","","Criminal Code traffic violations causing death or bodily harm","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631696","1.23.8.2","9.93","","","","2"
"2021","Canada","","Criminal Code traffic violations causing death or bodily harm","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631696","1.23.8.2","9.80","","","","2"
"2019","Canada","","Criminal Code traffic violations causing death or bodily harm","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598883","1.23.5.2","15.93","","","","2"
"2020","Canada","","Criminal Code traffic violations causing death or bodily harm","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598883","1.23.5.2","15.67","","","","2"
"2021","Canada","","Criminal Code traffic violations causing death or bodily harm","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598883","1.23.5.2","15.45","","","","2"
"2019","Canada","","Criminal Code traffic violations causing death or bodily harm","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631698","1.23.9.2","10.73","","","","2"
"2020","Canada","","Criminal Code traffic violations causing death or bodily harm","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631698","1.23.9.2","9.67","","","","2"
"2021","Canada","","Criminal Code traffic violations causing death or bodily harm","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631698","1.23.9.2","9.82","","","","2"
"2019","Canada","","Criminal Code traffic violations causing death or bodily harm","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631700","1.23.10.2","6.54","","","","2"
"2020","Canada","","Criminal Code traffic violations causing death or bodily harm","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631700","1.23.10.2","5.95","","","","2"
"2021","Canada","","Criminal Code traffic violations causing death or bodily harm","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631700","1.23.10.2","5.59","","","","2"
"2019","Canada","","Criminal Code traffic violations causing death or bodily harm","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651693","1.23.11.2","3.47","","","","2"
"2020","Canada","","Criminal Code traffic violations causing death or bodily harm","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651693","1.23.11.2","2.63","","","","2"
"2021","Canada","","Criminal Code traffic violations causing death or bodily harm","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651693","1.23.11.2","2.73","","","","2"
"2019","Newfoundland and Labrador","","Total, all violations","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598917","2.1.1.2","1282.85","","","","2"
"2020","Newfoundland and Labrador","","Total, all violations","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598917","2.1.1.2","1383.80","","","","2"
"2021","Newfoundland and Labrador","","Total, all violations","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598917","2.1.1.2","1492.70","","","","2"
"2019","Newfoundland and Labrador","","Total, all violations","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598919","2.1.2.2","632.03","","","","2"
"2020","Newfoundland and Labrador","","Total, all violations","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598919","2.1.2.2","536.17","","","","2"
"2021","Newfoundland and Labrador","","Total, all violations","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598919","2.1.2.2","819.63","","","","2"
"2019","Newfoundland and Labrador","","Total, all violations","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631720","2.1.8.2","2737.46","","","","2"
"2020","Newfoundland and Labrador","","Total, all violations","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631720","2.1.8.2","2463.21","","","","2"
"2021","Newfoundland and Labrador","","Total, all violations","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631720","2.1.8.2","2948.93","","","","2"
"2019","Newfoundland and Labrador","","Total, all violations","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598925","2.1.5.2","2611.04","","","","2"
"2020","Newfoundland and Labrador","","Total, all violations","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598925","2.1.5.2","2906.35","","","","2"
"2021","Newfoundland and Labrador","","Total, all violations","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598925","2.1.5.2","2660.03","","","","2"
"2019","Newfoundland and Labrador","","Total, all violations","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631722","2.1.9.2","2218.81","","","","2"
"2020","Newfoundland and Labrador","","Total, all violations","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631722","2.1.9.2","2623.06","","","","2"
"2021","Newfoundland and Labrador","","Total, all violations","25 to 44 years","Rate per 100,000 population","Rate","257","units","0","v1282631722","2.1.9.2","2760.86","","","","2"
"2019","Newfoundland and Labrador","","Total, all violations","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631724","2.1.10.2","904.90","","","","2"
"2020","Newfoundland and Labrador","","Total, all violations","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631724","2.1.10.2","977.17","","","","2"
"2021","Newfoundland and Labrador","","Total, all violations","45 to 64 years","Rate per 100,000 population","Rate","257","units","0","v1282631724","2.1.10.2","1066.28","","","","2"
"2019","Newfoundland and Labrador","","Total, all violations","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651699","2.1.11.2","222.72","","","","2"
"2020","Newfoundland and Labrador","","Total, all violations","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651699","2.1.11.2","213.42","","","","2"
"2021","Newfoundland and Labrador","","Total, all violations","65 years and older","Rate per 100,000 population","Rate","257","units","0","v1282651699","2.1.11.2","292.81","","","","2"
"2019","Newfoundland and Labrador","","Violations causing death and attempted murder","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598931","2.2.1.2","1.72","","","","2"
"2020","Newfoundland and Labrador","","Violations causing death and attempted murder","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598931","2.2.1.2","1.34","","","","2"
"2021","Newfoundland and Labrador","","Violations causing death and attempted murder","Total, age of victim","Rate per 100,000 population","Rate","257","units","0","v122598931","2.2.1.2","2.30","","","","2"
"2019","Newfoundland and Labrador","","Violations causing death and attempted murder","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598933","2.2.2.2","0.00","","","","2"
"2020","Newfoundland and Labrador","","Violations causing death and attempted murder","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598933","2.2.2.2","1.84","","","","2"
"2021","Newfoundland and Labrador","","Violations causing death and attempted murder","11 years and younger","Rate per 100,000 population","Rate","257","units","0","v122598933","2.2.2.2","0.00","","","","2"
"2019","Newfoundland and Labrador","","Violations causing death and attempted murder","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631728","2.2.8.2","0.00","","","","2"
"2020","Newfoundland and Labrador","","Violations causing death and attempted murder","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631728","2.2.8.2","0.00","","","","2"
"2021","Newfoundland and Labrador","","Violations causing death and attempted murder","12 to 17 years","Rate per 100,000 population","Rate","257","units","0","v1282631728","2.2.8.2","0.00","","","","2"
"2019","Newfoundland and Labrador","","Violations causing death and attempted murder","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598939","2.2.5.2","2.49","","","","2"
"2020","Newfoundland and Labrador","","Violations causing death and attempted murder","18 to 24 years","Rate per 100,000 population","Rate","257","units","0","v122598939","2.2.5.2","2.49","","","","2"
